"codice_territorio","comune","2014","2015","2016","2017","prov_nome","prov_codice","regione","latitudine","longitudine"
"1245","San Giorio di Susa","12.58","5.86","11.77","10.94","Torino","TO","Piemonte","45.126955","7.179669"
"1246","San Giusto Canavese","12.89","9.7","15.32","15.44","Torino","TO","Piemonte","45.312289","7.810371"
"1247","San Martino Canavese","10.6","14.12","14.33","18.19","Torino","TO","Piemonte","45.393991","7.815257"
"1248","San Maurizio Canavese","8.6","9.6","7.49","9.79","Torino","TO","Piemonte","45.216505","7.633529"
"1249","San Mauro Torinese","9.58","9.76","10.22","11.59","Torino","TO","Piemonte","45.102087","7.765355"
"1250","San Pietro Val Lemina","8.3","14.45","11.72","6.18","Torino","TO","Piemonte","44.911718","7.309831"
"1251","San Ponso","7.23","14.73","11.21","26.37","Torino","TO","Piemonte","45.350440","7.671792"
"1252","San Raffaele Cimena","8.28","8.56","8.95","10.3","Torino","TO","Piemonte","45.155708","7.863484"
"1253","San Sebastiano da Po","7.22","8.24","10.81","12.31","Torino","TO","Piemonte","45.159626","7.941571"
"1254","San Secondo di Pinerolo","11.52","13.16","12.24","12.98","Torino","TO","Piemonte","44.864618","7.298837"
"1255","Sant'Ambrogio di Torino","12.35","10.69","9.48","11.42","Torino","TO","Piemonte","45.095664","7.368353"
"1256","Sant'Antonino di Susa","6.63","9.66","10.02","14.78","Torino","TO","Piemonte","45.108100","7.269592"
"1257","Santena","10.37","12.02","11.66","10.95","Torino","TO","Piemonte","44.950068","7.773334"
"1258","Sauze di Cesana","8.02","16.19","12.24","4.04","Torino","TO","Piemonte","44.940179","6.858497"
"1259","Sauze d'Oulx","7.97","3.59","2.73","6.45","Torino","TO","Piemonte","45.026882","6.858390"
"1260","Scalenghe","7.18","9.58","9.94","10.33","Torino","TO","Piemonte","44.888132","7.495757"
"1261","Scarmagno","8.36","10.73","11.81","14.22","Torino","TO","Piemonte","45.384526","7.841054"
"1262","Sciolze","10.84","14.96","17.21","12.42","Torino","TO","Piemonte","45.095205","7.876077"
"1263","Sestriere","4.35","3.24","9.69","5.39","Torino","TO","Piemonte","44.957851","6.879086"
"1264","Settimo Rottaro","18.09","24.51","6.17","16.53","Torino","TO","Piemonte","45.404723","7.991280"
"1265","Settimo Torinese","9.56","10.37","9.75","11.11","Torino","TO","Piemonte","45.139586","7.770978"
"1266","Settimo Vittone","14.25","16.65","9.64","14.21","Torino","TO","Piemonte","45.548894","7.829276"
"1267","Sparone","13.73","18.41","11.59","25.65","Torino","TO","Piemonte","45.411370","7.541910"
"1268","Strambinello","18.21","18.59","7.55","14.79","Torino","TO","Piemonte","45.423713","7.769618"
"1269","Strambino","10.68","12.06","12.63","11.2","Torino","TO","Piemonte","45.381721","7.884830"
"1270","Susa","12.84","16.76","16.93","15.68","Torino","TO","Piemonte","45.138614","7.048457"
